Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution ,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13,Other Institution 13,Other Institution 14,Other Institution 15
Demkine,1,UNEP,Kenya,Ukraine,MD,MD,Kenya,14,RE,MD,,,,,,,,,,,,,,,
Den-Elzen,1,MNP,Netherlands,Netherlands,UoMaastricht,Netherlands,Netherlands,13,LA,UNFCCC,,,,,,,,,,,,,,,
Dewar,1,UoCape_Town,South_Africa,MD,UoCape_Town,South_Africa,South_Africa,12,LA,UoCape_Town,,,,,,,,,,,,,,,
Dhakal,1,AIT,Thailand,MD,UoTokyo,Japan,Thailand,12,CLA,MD,,,,,,,,,,,,,,,
Diaz-Morejon,1,Science_Ministry,Cuba,Cuba,UoSofia,Bulgaria,Cuba,5,LA,UoHavana,SA_Cuba,,,,,,,,,,,,,,
Dimitriu,0,MMU,UK,MD,MMU,UK,Romania,8,LA,TAROM,EC_Harris,,,,,,,,,,,,,,
Dong,0,IoESDA,China,MD,MD,MD,China,11,LA,MD,,,,,,,,,,,,,,,
Dubash,1,UoJawaharlal_Nehru,India,India,UoCalifornia_Berkeley,USA,India,15,LA,IDFC,WRI,EDF,,,,,,,,,,,,,
Dutt,1,IIT,India,India,CMU,USA,India,2,LA,CMU,TCS,,,,,,,,,,,,,,
Edenhofer,1,PIK,Germany,Germany,Technical_UoDarmstadt,Germany,Germany,-,CC,TU_Darmstadt,IPCC,Tech_UoBerlin,,,,,,,,,,,,,
Edmonds,1,PNNL,USA,USA,UoDuke,USA,USA,7,LA,MD,,,,,,,,,,,,,,,
El-Gizouli,1,ENR_Sudan,Sudan,Sudan,UoAston,UK,Sudan,2,RE,MI_Sudan,NEA,African_DB,FAO,AFREPRN,,,,,,,,,,,
Elsiddig,1,UoKhartoum,Sudan,Sudan,UoBangor,UK,Sudan,11,LA,UoKarthoum,FAO,,,,,,,,,,,,,,
Essandoh-Yeddu,1,Energy_Comission_Ghana,Ghana,Ghana,UoTexas_Austin,USA,Ghana,15,LA,UoTexas_Austin,UNFCCC,,,,,,,,,,,,,,
Eyre,1,ECI_UoOxford,UK,UK,UoOxford,USA,UK,9,LA,EST,ETSU,European_Comission,,,,UoPennsylvania,,,,,,,,,
Faaij,1,UoUtrecht,Netherlands,Netherlands,UoUtrecht,Netherlands,Netherlands,7,LA,UoUtrecht,Copernicus_Institute,,,,,,,,,,,,,,
Fifita,1,Pacific_Community,Fiji,MD,MD,MD,Fiji,15,LA,MD,,,,,,,,,,,,,,,
Figueroa-Meza,0,DTU,Denmark,Venezuela,UoRoskilde,Denmark,Denmark,8,LA,UNEP_Risoe_Centre,UoRoskilde,,,,,,,,,,,,,,
Finus,1,UoStirling,UK,Germany,UoHagen,Germany,UK,13,LA,UoHagen,UoGiessen,BASF,UoSingapore,UoWageningen,UoLuneburg,,,,,,,,,,
Fischedick,1,UoWuppertal,Germany,Germany,UoStuttgart,Germany,Germany,10,CLA,WICEE,UoWiesbaden,UoWitten-Herdecke,UoKassel,UoKoblenz-Landau,,,,,,,,,,,
Fisher-Vanden,0,UoPennsylvania,USA,MD,UoHarvard,USA,USA,6,LA,CDartmouth,UoHarvard,PNNL,AQMD_SouthCoast,WEFA_Group,UoCalifornia_LosAngeles,,,,,,,,,,
Fleurbaey,1,UoPrinceton,USA,France,EHESS,France,USA,4,CLA,EHESS,CNRS,UoCergy,,,,,,,,,,,,,
Frankel,1,CalCEF,USA,MD,Thunderbird,USA,USA,16,LA,Ecosa_Capital,Bermai_Inc,Barneson_Group,Wi-Fi_Alliance,3Com_Corporation,Haitai_International,,,,,,,,,,
Fullerton,1,UoIllinois,USA,USA,UoCalifornia_Berkeley,USA,USA,3,LA,UoTexas_Austin,CMU,UoVirginia,UoStanford,UoPrinceton,US_TD,,,,,,,,,,
Fulton,1,UoCalifornia_Davis,USA,Canada,UoPennsylvania,USA,USA,8,LA,IEA,UNEP,US_Energy,UoMaryland,UoBangladesh,,,,,,,,,,,
Fungtammasan,1,KMUTT,Thailand,Thailand,UoNew_South_Wales,Australia,Thailand,7,LA,MD,,,,,,,,,,,,,,,
Gadgil,1,LBNL,USA,MD,UoCalifornia_Berkeley,USA,USA,9,LA,MD,,,,,,,,,,,,,,,
Gámez-Vázquez,0,UABCS,Mexico,MD,UoEssex,UK,Mexico,14,LA,MD,,,,,,,,,,,,,,,
Garg,1,IIM,India,MD,Indian_Institute_Technology_Rorkee,India,India,7,LA,UNEP_Risoe_Centre,,,,,,,,,,,,,,,
Garrido-Vázquez,1,CITMA,Cuba,Cuba,MFI,Russia,Cuba,16,LA,UoHavana,UoPinar_del_Rio,SA_Cuba,,,,Hewlett-Packard_Company,,,,,,,,,
Geng,1,CAS,China,China,UoDalhousie,Canada,China,10,LA,NIES,UNIDO,,,,,,,,,,,,,,
Gerlagh,1,UoTilburg,Netherlands,Netherlands,UoVrije,Netherlands,Netherlands,5,CLA,UoVrije,IVM,UoManchester,,,,,,,,,,,,,
Gollier,1,UoToulouse,France,Belgium,UCL,Belgium,France,3,LA,EPF,HEC_Paris,UoCalifornia_SanDiego,FNRS,,,,,,,,,,,,
Gomes,1,PUC-Rio,Brazil,Brazil,UoMinnesota,USA,Brazil,5,RE,Petroleo_Brasileiro,,,,,,UoMannheim,GTZ,UoTubingen,UoDarmstadt,UPO,,,,,
Gómez-Echeverri,1,IIASA,Austria,MD,UoYale,USA,Austria,16,LA,UNDP,UNFCCC,,,,,,,,,,,,,,
Goulder,1,UoStanford,USA,USA,UoStanford,USA,USA,15,LA,Freeman_Spogli_IIS,UoStanford,UoHarvard,,,,,,,,,,,,,
Grübler,1,UoYale,USA,Austria,TechUoVienna,Austria,Austria,1,RE,World_Bank,IIASA,,,,,,,,,,,,,,
Guan,1,UoLeeds,UK,MD,UoLeeds,UK,UK,14,LA,UoCambridge,WWF,UoYork,,,,,,,,,,,,,
"Gupta, Joyeeta",0,UoAmsterdam,Netherlands,India,UoVrije,Netherlands,Netherlands,13,LA,UoVrije,UNESCO-IHE,IOCU,CRC_Ahmedabad,UoHarvard,,,,,,,,,,,
"Gupta, Shreekant",1,UoDelhi,India,India,UoMaryland,USA,India,2,CLA,UoSingapore,World_Bank,UoMaryland,India_Government,NIUA,,,,,,,,,,,
"Gupta, Sujata",0,Asian_DB,India,India,LBS,UK,India,16,CLA,ERI,Asian_DB,TATA,,,,,,,,,,,,,
Gutiérrez-Espeleta,1,UCR,Costa_Rica,Costa_Rica,UoIowa,USA,Costa_Rica,14,LA,MD,,,,,,,,,,,,,,,
Ha-Duong,1,CIRED,France,France,EHESS,France,France,2,LA,ENPC,CMU,CIRED,UoParis,,,,,,,,,,,,
Haberl,1,UoKlagenfurt,Austria,Austria,UoVienna,Austria,Austria,11,LA,IIASA,EEA,,,,,,,,,,,,,,
Haites,1,Margaree_Consultants,Canada,Canada,UoPurdue,USA,Canada,16,LA,Barakat_&_Chamberlin,DPA_Group,Middleton_Associates,UoWestern_Ontario,Shell_Canada,Stevenson_Kellogg,,,,,,,,,,
Halsnaes,0,UNEP,Denmark,Denmark,UoRoskilde,Denmark,Denmark,14,RE,DTU,Danish_Economics,UoRoskilde,,,,,,,,,,,,,
Hanemann,1,UoCalifornia_Berkeley,USA,USA,UoHarvard,USA,USA,3,LA,UoHarvard,UoMassachusetts,UoCalifornia_Berkeley,,,,,,,,,,,,,
Harnisch,1,KfW,Germany,Germany,UoGottingen,Germany,Germany,16,CLA,Ecofys_Germany_GmbH,MIT,Max-Planck_IA,,,,,,,,,,,,,
Harper,1,UoMurdoch,Australia,MD,UoWestern_Australia,Australia,Australia,11,LA,Western_Australian_Government,,,,,,,,,,,,,,,
Harvey,1,UoToronto,Canada,Canada,UoToronto,Canada,Canada,9,LA,MD,,,,,,,,,,,,,,,
Hassan,1,UoPretoria,South_Africa,Sudan/South_Africa,ISU,USA,South_Africa,3,LA,UoPretoria,CIMMYT,ISU,UoJuba,UoKhartoum,,,,,,,,,,,
Held,1,UoHamburg,Germany,Germany,UoMunich,Germany,Germany,2,LA,PIK,Volkswagen_Foundation,UoMunich,Max_Planck_Institute,,,,,,,,,,,,
Hertwich,1,NTNU,Norway,Austria,UoCalifornia_Berkeley,USA,Norway,7,LA,IIASA,NTNU,AEA,,,,,,,,,,,,,
Höhne,1,Ecofys_Germany_GmbH,Germany,Germany,UoUtrecht,Netherlands,Germany,13,LA,UNFCCC,UNEP,,,,,,,,,,,,,,
Honnery,1,UoMonash,Australia,MD,UoSydney,Australia,Australia,7,LA,MD,,,,,,,,,,,,,,,
Hourcade,1,CIRED,France,France,UoParis,France,France,6,LA,ADEME,SNCF,GICC,EHESS,,,,,,,,,,,,
"Huang, Luxin (RIP)",1,CAUPD,China,MD,MD,MD,China,12,LA,MD,,,,,,,,,,,,,,,
"Huang, Yongfu",1,UNU-WIDER,Finland,China,MD,MD,Finland,16,LA,UoCambridge,,,,,,MINASGAS,RJR,FSJ,IBMEC,,,,,,
Inaba,1,UoKogakuin,Japan,Japan,UoTokyo,Japan,Japan,12,LA,UoTokyo,,,,,,,,,,,,,,,
Infield,1,UoStrathclyde,UK,MD,UoKent,UK,UK,7,LA,BSRIA,RAL,UoLoughborough,,,,,,,,,,,,,
Ivanova-Boncheva,0,UABCS,Mexico,MD,UNAM,Mexico,Mexico,13,RE/VC,MD,,,,,,,,,,,,,,,
Jafari,1,RIFR,Iran,Iran,MD,UK,Iran,11,LA,RIFR,FRWO,LFCC,INSDC,,,,,,,,,,,,
Jaffe,1,UoBrandeis,USA,USA,UoHarvard,USA,USA,15,LA,UoBrandei,NBER,OECD,UoHarvard,,,,,,,,,,,,
Jänicke,1,IASS,Germany,Germany,FU_Berlin,Germany,Germany,15,RE,German Chancellor's_Office,German_UNESCO_Commission,FU_Berlin,Wuppertal_Institute,DBU,,,,,,,,,,,
"Jiang, Kejun",1,ERI,China,MD,TITech,Japan,China,6,CLA,MD,,,,,,,,,,,,,,,
"Jiang, Leiwen",1,UCAR,USA,MD,UoAmsterdam,Netherlands,USA,14,LA,UoBrown,IIASA,CAS,IPR,CIPEC,,,,,,,,,,,
"Jiang, Yi",1,UoTsinghua,China,China,UoTsinghua,China,China,9,LA,UoTsinghua,,,,,,,,,,,,,,,
Jotzo,1,ANU,Australia,Germany,ANU,Australia,Australia,3,LA,Crawford_School,CCEP,World_Bank,,,,,,,,,,,,,
Kahn-Ribeiro,0,UFRJ,Brazil,Brazil,UFRJ,Brazil,Brazil,8,RE/VC,SEARJ,CNPq,MMA,GEA,UFRJ,,,,,,,,,,,
Kainuma,0,NIES,Japan,Japan,UoKyoto,Japan,Japan,7,LA,MD,,,,,,,,,,,,,,,
Kansal,1,TERI,India,India,IIT,India,India,12,LA,MD,,,,,,,,,,,,,,,
Karrouk,1,UoHassanII,Morocco,Morocco,UoParis,France,Morocco,16,LA,UoHassanII,,,,,,,,,,,,,,,
Kartha,1,SEI,USA,USA,UoCornell,USA,USA,4,CLA,UNFCCC,World_Bank,,,,,,,,,,,,,,
Khennas,1,Independent consultant?,UK,Algeria,Uo_Grenoble,France,UK,7,LA,Intermediate_Technology_Development_Group (ITDG),Practical_Action_Consulting,UNEP,,,,,,,,,,,,,
Kheshgi,1,AIChE,USA,MD,UoMinnesota,USA,USA,10,LA,ExxonMobil_Corporate,LLL,,,,,,,,,,,,,,
"Kim, Suduk",1,UoAjou,South_Korea,South_Korea,Rutgers_State_UoNewJersey,USA,South_Korea,7,LA,UoHoseo,KEEI,UoSeoul,KER,KEREA,,,,,,,,,,,
"Kim, Yong-Gun",1,KEI,South_Korea,MD,BrownU,USA,South_Korea,14,LA,UNEP,KEI,LG_Economic_Research_Institute,Energy_Economics_Institute,GGGI,,,,,,,,,,,
Klasen,1,UoGottingen,Germany,MD,UoHarvard,USA,Germany,14,CLA,UoMunich,UoCambridge,UoHarvard,UNESCO,OECD,World_Bank,,,,,,,,,,
Kobayashi,1,Toyota_R&D,Japan,MD,MD,MD,Japan,8,LA,MD,,,,,,,,,,,,,,,
Kolstad,1,UoStanford,USA,USA,UoStanford,USA,USA,3,CLA,UoCalifornia_SantaBarbara,UoIllinois,CESifo,MIT,UoStanford,,,,,,,,,,,
Kopp,1,RFF,USA,MD,UoNew_York,USA,USA,16,LA,RFF,,,,,,,,,,,,,,,
Krey,1,IIASA,Austria,MD,Ruhr_UoBochum,Germany,Austria,6,LA,IIASA,RC_Julich,IPCC,EMF,UoVienna,PNNL,,,,,,,,,,
Kriegler,1,PIK,Germany,Germany,UoPotsdam,Germany,Germany,6,LA,PIK,WBGU,,,,,,,,,,,,,,
Krug,0,INPE,Brazil,MD,UoSheffield,UK,Brazil,11,RE,INPE,,,,,,,,,,,,,,,
Kunreuther,1,UoPennsylvania,USA,USA,MIT,USA,USA,2,CLA,UoPennsylvania,IIASA,UoYale,IDA,UoChicago,,,,,,,,,,,
Kverndokk,1,Frisch_Centre,Norway,Norway,UoOslo,Norway,Norway,3,RE,SNF,Statistics_Norway,UoOslo,NASL,Frisch_Centre,CREE,,,,,,,,,,
Labandeira,1,UoVigo,Spain,Spain,UoVigo,Spain,Spain,15,LA,UoVigo,CEU,UNED,UoIlles_Balears,UoPalmas_GranCanaria,CIHEAM,,,,,,,,,,
Lanza,1,CMCC,Italy,Italy,UCL,UK,Italy,10,LA,UoEni_Corporate,FEEM,OECD,UoOxford,,,,,,,,,,,,
Lecocq,1,AgroParisTech,France,France,ENGREF,France,France,4,LA,CIRED,AgroParisTech,World_Bank,EHESS,,,,,,,,,,,,
Lee,1,UoKeimyung,South_Korea,South_Korea,Brown University,USA,South_Korea,13,LA,UNEP_Risoe_Centre,Korea Environment Institute,LG Economic Research Institute,Korea Energy Economics Institute,,,,,,,,,,,,
Lefevre,1,WRI,USA,France,Paris_Tech,France,USA,16,LA,UFP,IDDRI,GMS,IURD,UoCalifornia_Berkeley,,,,,,,,,,,
Lewis,0,UoGeorgetown,USA,USA,UoCalifornia_Berkeley,USA,USA,14,LA,US_China_CEF,UNIDO,Pew_Center_GCC,UoGeorgetown,LBNL,UoCalifornia_Berkeley,,,,,,,,,,
Ling,0,Third_World_Network,Malaysia,Malaysia,UoCambridge,UK,Malaysia,4,LA,UoMalaysia,,,,,,,,,,,,,,,
Linnerooth-Bayer,0,IIASA,Austria,Austria,UoMaryland,USA,Austria,2,RE,TechUoVienna,IRM,,,,,,,,,,,,,,
Liphoto,1,Eskom,South_Africa,South_Africa,UoKwaZulu,South_Africa,South_Africa,9,LA,CCMP_Johannesburg,CSIR,,,,,,,,,,,,,,
Llanes-Regueiro,1,UoHavana,Cuba,Cuba,UoHavana,Cuba,Cuba,2,LA,UNDP,Beijer_Institute,UNU,,,,,,,,,,,,,
Löschel,1,ZEW,Germany,Germany,UoHeidelberg/UoMannheim,Germany,Germany,6,LA,UoOldenburg,European_Comission,ZEW,MIT,UoHeidelberg,UCL,,,,,,,,,,
